,Link,Price,Image,Model,Year,Exterior Color,Interior Color,Registration,Ownership,Brand,Kms Covered,Fuel Type
21,https://youdrivemecrazy.in/listings/x4-30i-msport-lci/,6100002.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250919-WA0099-280x183.jpg,X4 30i Msport LCI,2022,Carbon Black Metallic,,MH Registered,1,BMW,22000,Petrol
22,https://youdrivemecrazy.in/listings/e200-lwb-amg-line/,6650000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250921-WA0031-1-280x159.jpg,E200 LWB Amg line,2023,Obsidian Black,Beige,CH Registered,1,Mercedes,8000,Petrol
23,https://youdrivemecrazy.in/listings/q7-technology-40-tfsi/,4150000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250918-WA0048-280x149.jpg,Q7 Technology 40 TFSI,2018,Galaxy blue,Beige,HR Registered,2,Audi,45000,
24,https://youdrivemecrazy.in/listings/xe-p250-se-top-variant/,3150000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250917-WA0065-280x188.jpg,XE P250 SE (Top Variant),2020,Caldera Red,,HP Registered,1,Jaguar,34000,Petrol
25,https://youdrivemecrazy.in/listings/coopers-jcw-tuned-convertible/,3100000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250914-WA0078-280x196.jpg,CooperS JCW tuned Convertible,2018,Deep blue metallic,,JH Registered,2,Mini Cooper,53000,
26,https://youdrivemecrazy.in/listings/a6-35-tfsi/,1775000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250905-WA0033-280x182.jpg,A6 35 TFSI,2017,IBIS White,Beige,HR Registered,1,Audi,40000,Petrol
27,https://youdrivemecrazy.in/listings/mercedes-benz-glc-200/,5100000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250829-WA0007-280x192.jpg,GLC 200,2022,Cavan-site blue,,HR Registered,1,Mercedes,15000,Petrol
28,https://youdrivemecrazy.in/listings/x5-40i-msport-lci/,9900000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250329-WA0057-280x185.jpg,X5 40i Msport LCI,2024,Mineral White,Tartufo,DD Registered,1,BMW,16000,
29,https://youdrivemecrazy.in/listings/a6-s-line-matrix/,2150000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250820-WA0041-280x187.jpg,A6 S LINE MATRIX,2017,IBIS White,,HR Registered,1,Audi,63000,Petrol
30,https://youdrivemecrazy.in/listings/xc90-b6-ultimate-hybrid/,7500000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250814-WA0020-280x206.jpg,XC90 B6 Ultimate Hybrid,2024,Crystal white pearl,,HR Registered,1,Volvo,39000,
31,https://youdrivemecrazy.in/listings/q7-55-tfsi/,6600002.0,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250808-WA0019-280x193.jpg,Q7 55 TFSI,2022,Cararra White,OKAPI BROWN,JK Registered,1,Audi,36000,
32,https://youdrivemecrazy.in/listings/x3-30i-msport-xdrive/,5150000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250807-WA0052-280x185.jpg,X3 30i Msport Xdrive,2022,Mineral White,,GJ Registered,1,BMW,34000,
33,https://youdrivemecrazy.in/listings/f-pace-2-0l-prestigetop/,3200000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250729-WA0016-280x191.jpg,F Pace 2.0L Prestige(Top),2018,Caesium Blue,Beige,HR Registered,2,Jaguar,59000,
34,https://youdrivemecrazy.in/listings/q5-45-tfsi-2/,4999000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250722-WA0015-280x200.jpg,Q5 45 TFSI,2024,Glacier white metallic,,HR Registered,1,Audi,37000,Petrol
35,https://youdrivemecrazy.in/listings/tiguan-2-0l-tdi-highlineat/,1475000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250720-WA0012-280x195.jpg,Tiguan 2.0L TDI-HIGHLINE(AT),2017,Oryx white,,DL Registered,2,Volkswagen,78000,Diesel
36,https://youdrivemecrazy.in/listings/330i-msport/,3950000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0095-280x196.jpg,330i Msport,2022,Portimao Blue,Mocha,UP Registered,1,BMW,17000,Petrol
37,https://youdrivemecrazy.in/listings/cla-45amg/,2975000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0395-280x161.jpg,CLA 45AMG,2018,Cirrus White,,DL Registered,2,Mercedes,40000,
38,https://youdrivemecrazy.in/listings/mercedes-amg-a45-s/,7900000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0163-280x166.jpg,A45 S,2022,Designo Patagonia Red Metallic,,DD Registered,1,Mercedes,26000,
39,https://youdrivemecrazy.in/listings/jaguar-xj-l/,4600000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/04/IMG-20250422-WA0002-280x178.jpg,XJ-L,2017,French Racing Blue,,HP Registered,1,Jaguar,55000,Petrol
40,https://youdrivemecrazy.in/listings/rs5-facelift-4-2-v8/,5100000.0,https://youdrivemecrazy.in/wp-content/uploads/2025/01/WhatsApp-Image-2025-01-11-at-19.22.29_5c476199-280x151.jpg,RS5 Facelift,2013,Sepang Blue,Black,PY Registered,3,Audi,42000,
41,https://youdrivemecrazy.in/listings/jaguar-xk-r/,4500000.0,https://youdrivemecrazy.in/wp-content/uploads/2024/12/WhatsApp-Image-2024-11-29-at-9.37.28-AM-280x160.jpeg,XK-R,2012,,,CH Registered,1,Jaguar,38000,
42,https://youdrivemecrazy.in/listings/s-jcw-tuned/,3500000.0,https://youdrivemecrazy.in/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-17-at-5.21.40-PM-280x186.jpeg,S JCW Tuned,2018,Midnight Black Metal,Black,HP Registered,1,Mini Cooper,35000,
43,https://youdrivemecrazy.in/listings/range-rover-sport-2018/,5800000.0,https://youdrivemecrazy.in/wp-content/uploads/2024/10/Range-Rover-1-280x200.png,Sport,2018,Fuji white,Beige,HR Registered,2,Land Rover,37000,
